id;Pedido;Cliente;DATA_PEDIDO;DTA_CRIA_OM;DTA_LIBERACAO_CREDITO;DATA_EST_PICK;STATUS;DATA_GERACAO_NF;DAT_MINUTA;Editora;sku;volume;peso;valor;NF
ATI1346359;1346359;LIVRARIA DA TRAVESSA LTDA;01/11/2016;01/11/2016;04/11/2016;07/11/2016;FINALIZADO;07/11/2016;07/11/2016;ATICA;1;2;0,57;93,67;250594
ATI33207;33207;FORMA CERTA GRAFICA DIGITAL LTDA;01/11/2016;01/11/2016;;01/11/2016;FINALIZADO;03/11/2016;25/11/2016;ATICA;1;696;666,08;15540,29;250489
ATI1346401;1346401;RAMALIVROS DISTRIBUIDORA LTDA;01/11/2016;01/11/2016;01/11/2016;01/11/2016;FINALIZADO;02/11/2016;03/11/2016;ATICA;2;29;5,505;858,61;250404
ATI1346411;1346411;DE OLHO NO LIVRO DISTRIBUIDORA LTDA - EPP;01/11/2016;01/11/2016;01/11/2016;01/11/2016;FINALIZADO;02/11/2016;03/11/2016;ATICA;7;9;6,99;687,75;250380
SER1346425;1346425;MARIA VITORIA TAVARES DE ALMEIDA;01/11/2016;01/11/2016;;01/11/2016;FINALIZADO;03/11/2016;04/11/2016;SER;1;4;2,16;24,35;250460
ATI1346485;1346485;L ZAPPA REVISTARIA ME;03/11/2016;03/11/2016;03/11/2016;03/11/2016;FINALIZADO;04/11/2016;07/11/2016;ATICA;38;43;4,299;1068,53;250534
ATI1346484;1346484;ANTONIO VIEIRA DA SILVA ARARAQUARA ME;03/11/2016;03/11/2016;;03/11/2016;FINALIZADO;07/11/2016;07/11/2016;ATICA;2;2;0,45;59,64;250602
ATI1345746;1345746;ELDORADO BOOKS LIVRARIA LTDA;03/11/2016;03/11/2016;;04/11/2016;FINALIZADO;04/11/2016;04/11/2016;ATICA;10;44;8,01;1264,55;250540
ATI1346530;1346530;CRUZ AZUL DE SAO PAULO;03/11/2016;03/11/2016;;03/11/2016;FINALIZADO;03/11/2016;07/11/2016;ATICA;2;2;0,36;22,48;250459
SER1346568;1346568;INSTITUTO SAO JOAO BAPTISTA LTDA - EPP;03/11/2016;03/11/2016;;04/11/2016;FINALIZADO;04/11/2016;;SER;32;32;22,63;447,68;250542
ATI1346589;1346589;DISTRIBUIDORA CURITIBA DE PAPEIS E LIVROS S/A;03/11/2016;03/11/2016;;03/11/2016;FINALIZADO;04/11/2016;07/11/2016;ATICA;1;10;1,75;246,95;250519
ATI1346610;1346610;INSTITUTO DE DESENVOLVIMENTO E EDUCACAO AD LIBERTY;03/11/2016;03/11/2016;03/11/2016;03/11/2016;FINALIZADO;04/11/2016;04/11/2016;ATICA;1;21;2,205;428,4;250494
ATI1346613;1346613;LITERATO DISTRIBUIDORA DE LIVROS LTDA EPP - EPP;03/11/2016;03/11/2016;;03/11/2016;FINALIZADO;04/11/2016;08/11/2016;ATICA;11;58;4,712;1029,54;250532
ATI1346630;1346630;CAIO AUGUSTO DE OLIVEIRA;03/11/2016;03/11/2016;;03/11/2016;FINALIZADO;04/11/2016;04/11/2016;ATICA;4;8;3,01;257,92;250522
ATI1346636;1346636;R. CASTRO LIVRARIA - ME;03/11/2016;03/11/2016;03/11/2016;03/11/2016;FINALIZADO;04/11/2016;04/11/2016;ATICA;1;1;0,2;25,9;250497
ATI1346665;1346665;ASSOCIACAO DE LITERATURA E BENEFICENCIA;03/11/2016;03/11/2016;;03/11/2016;FINALIZADO;07/11/2016;07/11/2016;ATICA;1;1;0,375;0,36;250603
ATI1346677;1346677;COLEGIO A PRIORI LTDA - ME;03/11/2016;03/11/2016;;03/11/2016;FINALIZADO;04/11/2016;07/11/2016;ATICA;3;3;0,84;156,86;250510
ATI1346684;1346684;COLEGIO A PRIORI LTDA - ME;03/11/2016;03/11/2016;;03/11/2016;CANCELADO;;;ATICA;1;1;0,375;0,36;Em Conferencia
ATI1346749;1346749;BRASILIANO E BRASILIANO LTDA ME;04/11/2016;04/11/2016;04/11/2016;04/11/2016;FINALIZADO;05/11/2016;07/11/2016;ATICA;2;6;1,076;155,4;250558
ATI1346756;1346756;COLEGIO CURSO DESAFIO LTDA - EPP;04/11/2016;04/11/2016;04/11/2016;07/11/2016;FINALIZADO;07/11/2016;07/11/2016;ATICA;3;26;1,775;351;250592
